"","Word","Count"
"283118","at the end of the day",20
"502414","could not be reached for comment",18
"404910","by the end of the year",17
"976392","in the first three months of",12
"1384720","on the new york stock exchange",12
"435329","centers for disease control and prevention",11
"1334275","of new york and new jersey",10
"1854214","the first three months of the",10
"292489","authority of new york and new",9
"675771","first three months of the year",9
"811258","happy mothers day to all the",9
"976368","in the first round of the",9
"1102375","larceny a larceny was reported at",9
"1492065","port authority of new york and",9
"1848449","the end of the year the",9
"1966754","this is going to be a",9
"546047","department of elementary and secondary education",8
"675772","first three months of this year",8
"708780","for the rest of his life",8
"1601298","said in a statement that the",8
"1832665","the centers for disease control and",8
"1848382","the end of the school year",8
"1854215","the first three months of this",8
"1894416","the port authority of new york",8
"283093","at the end of last year",7
"303696","badger badger badger badger badger badger",7
"706844","for the follow looking forward to",7
"708781","for the rest of my life",7
"708785","for the rest of the day",7
"756268","get real rewards just for watching",7
"1185704","matt hunter matt hunter matt hunter",7
"1481278","playoffs for the first time since",7
"1540583","real rewards just for watching tv",7
"1789955","thanks for the follow looking forward",7
"1893567","the playoffs for the first time",7
"1947152","there will be a lot of",7
"233829","anyone with information is asked to",6
"404904","by the end of the month",6
"546070","department of health and human services",6
"689054","for a chance to win a",6
"706620","for the first time in his",6
"903011","hunter matt hunter matt hunter matt",6
"1049248","it will be interesting to see",6
"1281553","nice work if you can get",6
"1384956","on the other side of the",6
"1790940","thanks to everyone who came out",6
"1945491","there is no such thing as",6
"2191640","what it means to be a",6
"2247297","with the securities and exchange commission",6
"2257044","work if you can get it",6
"8671","1320 sw broadway portland or 97201",5
"116848","according to a report in the",5
"159108","am i the only one who",5
"233953","anything buffy say anything buffy say",5
"283130","at the end of the month",5
"283140","at the end of the season",5
"283151","at the end of the year",5
"382113","buffy say anything buffy say anything",5
"554301","did not respond to a request",5
"706564","for the first three months of",5
"708797","for the rest of the week",5
"785941","granite city was arrested in the",5
"823022","have a long way to go",5
"909680","i dont know what to do",5
"967391","in other parts of the country",5
"1017744","is going to be a great",5
"1017748","is going to be a long",5
"1019718","is it just me or does",5
"1023365","is one of the most important",5
"1085763","kendall sexy schmidt kendall sexy schmidt",5
"1123055","let us know if we can",5
"1123089","let us know what you think",5
"1149522","look forward to seeing you at",5
"1298577","not respond to a request for",5
"1373883","on condition of anonymity because the",5
"1386702","on the wrong side of the",5
"1397890","only a matter of time before",5
"1567035","respond to a request for comment",5
"1617692","say anything buffy say anything buffy",5
"1634766","secretary of state hillary rodham clinton",5
"1713766","spoke on condition of anonymity because",5
"1790762","thanks so much for the follow",5
"1881256","the national highway traffic safety administration",5
"1922164","the turn of the 20th century",5
"1923725","the university of medicine and dentistry",5
"2081666","trying to figure out how to",5
"2103562","until the end of the year",5
"2108817","up to 10 years in prison",5
"2136020","wake up in the morning and",5
"2222204","will be interesting to see how",5
"52918","a base hit and theres a",4
"97550","a step in the right direction",4
"144403","all i want to do is",4
"194278","and im really looking forward to",4
"218360","and theres a base hit and",4
"283132","at the end of the night",4
