"","Word","Count"
"1784672","the end of the",203
"686464","for the first time",169
"273036","at the end of",160
"1833914","the rest of the",153
"1729697","thanks for the follow",137
"274385","at the same time",111
"1342481","one of the most",106
"979772","is going to be",103
"984787","is one of the",101
"749161","going to be a",94
"945362","in the united states",89
"2115180","when it comes to",84
"1545697","said in a statement",83
"1729749","thanks for the rt",79
"391313","by the end of",77
"407757","cant wait to see",72
"1927374","to be able to",72
"1728745","thank you for the",70
"688228","for the rest of",67
"942367","in the middle of",66
"1013580","its going to be",62
"881363","i dont want to",59
"1851638","the top of the",58
"77681","a member of the",57
"902712","if you want to",57
"274848","at the university of",56
"1342317","one of the best",56
"2071926","was one of the",55
"1790010","the first time in",54
"76027","a lot of people",53
"940881","in the first half",50
"798446","have a lot of",48
"1811730","the middle of the",47
"255221","as part of the",45
"940899","in the first quarter",45
"944311","in the second half",44
"749772","going to have to",43
"925097","in front of the",43
"1728958","thank you so much",43
"258385","as well as the",41
"940992","in the fourth quarter",41
"940901","in the first round",40
"255199","as part of a",39
"670485","for a long time",39
"1943152","to go to the",39
"74394","a little bit of",38
"258214","as well as a",38
"881049","i dont know if",38
"250363","as a result of",37
"879396","i cant wait to",37
"1765983","the bottom of the",37
"2202775","you dont have to",37
"242063","are you going to",36
"895150","i wish i could",36
"1763667","the best way to",36
"2108470","what do you think",36
"597136","end of the year",35
"618498","executive director of the",35
"877383","i am going to",35
"1334425","on the other hand",35
"1855160","the us department of",35
"2137889","will be able to",35
"265426","at a time when",34
"881073","i dont know what",34
"917951","in addition to the",34
"1329135","on my way to",34
"235928","are going to be",33
"1790039","the first time since",33
"1844412","the start of the",33
"2083693","we are going to",33
"64667","a few years ago",32
"255079","as one of the",32
"274727","at the time of",32
"798295","have a great day",32
"907464","im not going to",32
"1760796","the back of the",32
"93305","a spokesman for the",31
"885774","i just want to",31
"895673","i would love to",31
"232919","are a lot of",30
"302849","be a part of",30
"798328","have a great weekend",30
"945156","in the third quarter",30
"978820","is expected to be",30
"1254740","nothing to do with",30
"1342147","one of my favorite",30
"1769828","the center of the",30
"1873884","there are a lot",30
"1981350","told the associated press",30
"308995","be one of the",29
"478945","contributed to this report",29
"881046","i dont know how",29
"945590","in the wake of",29
"1107609","looking forward to the",29
"1730209","thanks so much for",29
"82203","a part of the",28
"274767","at the top of",28
"1632369","so much for the",28
"1942125","to get to the",28
"2004180","trying to figure out",28
"69292","a great way to",27
"862879","hope to see you",27
"893425","i want to be",27
"917624","in a way that",27
"932612","in one of the",27
"1009316","it would be a",27
"1426022","player of the year",27
"1639752","some of the best",27
"1722131","tens of thousands of",27
"1729719","thanks for the mention",27
"1895671","this is going to",27
"1928405","to be in the",27
"2068792","was going to be",27
"76112","a lot of things",26
"76119","a lot of time",26
"250756","as a way to",26
"355529","both sides of the",26
"787406","happy mothers day to",26
"863042","hope you have a",26
"1545712","said in an interview",26
"1728711","thank you for following",26
"1854477","the united states and",26
"680465","for more than a",25
"775949","had a chance to",25
"893891","i was going to",25
"931595","in new york city",25
"942380","in the midst of",25
"1334429","on the other side",25
"1639861","some of the most",25
"1728757","thank you for your",25
"1877328","theres a lot of",25
"1971665","to the united states",25
"2181220","would love to see",25
"75989","a lot of money",24
"487003","could not be reached",24
"555092","do you have a",24
"749330","going to be the",24
"881803","i feel like i",24
"939440","in the case of",24
"1248740","not going to be",24
"1342323","one of the biggest",24
"1729753","thanks for the shout",24
"1805337","the last two years",24
"2007238","turned out to be",24
"2056706","wait to see you",24
"650722","find a way to",23
"687474","for the most part",23
"776177","had a lot of",23
"815792","he said he was",23
"884364","i have no idea",23
"895157","i wish i had",23
"895660","i would like to",23
"940649","in the face of",23
"1187170","more than a decade",23
"1246930","not be able to",23
"1303351","of the year the",23
"1335799","on the way to",23
"1342403","one of the first",23
"1378909","over the course of",23
"1762713","the beginning of the",23
"1789961","the first three months",23
"1819013","the number of people",23
"1850891","the time of the",23
"1855420","the us supreme court",23
"1876935","there will be a",23
"1928810","to be part of",23
"2060716","want to go to",23
"56789","a chance to win",22
"274561","at the start of",22
"566774","dow jones industrial average",22
